"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"10028","Christian Bethancourt",0.037,0.061,0.243,0.259,0.15,0.36,0.222,0.394,0.252,0.436,0.316,0.57,0.567,0.699,0.094,0.12,2.4,5.9,0.28,0.454,-1.2,0,29,40,-26.2,-2.8,0.248,0.454,52,134
"10030","Chris Owings",0.056,0.084,0.24,0.294,0.23,0.53,0.243,0.435,0.288,0.49,0.372,0.641,0.66,0.792,0.129,0.136,6.8,7.7,0.309,0.519,7.8,-0.3,217,42,-62.2,-1.6,0.284,0.506,70,158
"10047","Wil Myers",0.1,0.155,0.268,0.303,0.37,0.77,0.254,0.403,0.33,0.521,0.446,0.767,0.775,0.897,0.192,0.255,5.1,6.8,0.319,0.455,5.2,0.4,508,46,51.3,14,0.333,0.565,110,202
"10053","Grant Green",0.048,0.106,0.249,0.333,0.19,0.54,0.248,0.498,0.283,0.576,0.336,0.692,0.62,0.765,0.088,0.117,3.2,6.7,0.321,0.609,-2,-1.9,27,87,-11.6,6.2,0.272,0.566,73,168
"10059","Max Stassi",0.089,0.219,0.293,0.418,0.3,0.71,0.225,0.352,0.307,0.548,0.384,0.69,0.691,0.816,0.159,0.206,1.7,3.3,0.291,0.434,-0.6,-0.3,99,37,-10.8,-0.7,0.303,0.566,91,201
"10067","Tomas Telis",0.026,0.066,0.127,0.141,0.21,0.72,0.23,0.417,0.267,0.469,0.298,0.567,0.565,0.724,0.067,0.106,3.6,6.7,0.261,0.445,-0.2,0.6,16,59,-14.7,-3.1,0.248,0.466,51,140
"10071","Jonathan Villar",0.089,0.137,0.265,0.34,0.33,0.63,0.258,0.416,0.326,0.519,0.403,0.613,0.729,0.8,0.145,0.135,6.1,10.3,0.336,0.529,16.8,2.1,441,42,-1.2,-0.5,0.316,0.514,97,167
"10099","Dustin Ackley",0.083,0.252,0.179,0.235,0.46,2.1,0.241,0.557,0.304,0.752,0.367,0.85,0.671,0.85,0.126,0.154,4.9,9.5,0.279,0.621,-0.4,0.5,229,81,-32.8,11.1,0.296,0.732,90,255
"10154","Donald Lutz",0.035,0.113,0.292,0.361,0.12,0.47,0.211,0.384,0.239,0.48,0.284,0.639,0.523,0.813,0.073,0.192,3.8,7.1,0.293,0.487,0.3,-0.1,5,44,-7.2,7,0.229,0.499,38,159
"10155","Mike Trout",0.153,0.19,0.215,0.248,0.71,1.14,0.305,0.486,0.419,0.627,0.583,0.756,1.002,0.949,0.278,0.179,6.3,10.5,0.348,0.59,20.9,1.7,1134,60,478.4,21.6,0.419,0.613,172,228
"10166","Nick Franklin",0.083,0.136,0.267,0.297,0.31,0.79,0.214,0.472,0.285,0.559,0.359,0.698,0.644,0.881,0.145,0.164,5,6.3,0.272,0.563,2,0.4,81,41,-22.9,7.2,0.284,0.565,78,202
"10171","Jose Ramirez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,-0.4,0,0,-100,-200
