"","ID","Name","Level","G","BB_Percentage","K_Percentage","BB_to_K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRCplus"
"1","19610","Keibert Ruiz","A",63,"7.2%","12.0%",0.6,0.317,0.372,0.423,0.795,0.106,2.5,0.355,0,37,7.9,0.363,127
"2","19610","Keibert Ruiz","A+",38,"4.4%","14.4%",0.3,0.315,0.344,0.497,0.84,0.181,3.1,0.333,0,24,3.9,0.36,119
"3","19610","Keibert Ruiz","AA",177,"7.6%","7.4%",1.06,0.261,0.328,0.366,0.694,0.105,1.4,0.264,-0.3,41,-2.4,0.316,94
"4","19610","Keibert Ruiz","AAA",81,"7.7%","7.1%",1.34,0.312,0.365,0.561,0.926,0.249,1.4,0.288,-0.1,24,6.5,0.388,129
"5","19610","Keibert Ruiz","R",100,"6.2%","10.3%",0.6,0.38,0.415,0.519,0.934,0.139,3.7,0.411,0.1,24,5.3,0.425,151
"6","19948","Cristian Pache","A",119,"7.6%","20.2%",0.38,0.281,0.335,0.343,0.679,0.062,7.1,0.36,0.6,58,-0.9,0.314,98
"7","19948","Cristian Pache","A+",93,"3.9%","17.8%",0.22,0.285,0.311,0.431,0.742,0.146,5.4,0.33,-1.1,48,4,0.335,109
"8","19948","Cristian Pache","AA",133,"6.2%","24.9%",0.26,0.269,0.317,0.405,0.722,0.136,4.7,0.349,-1.9,37,6.9,0.328,106
"9","19948","Cristian Pache","AAA",115,"8.6%","22.3%",0.41,0.27,0.334,0.412,0.746,0.144,3.7,0.338,-0.8,29,-0.5,0.33,96
"10","19948","Cristian Pache","R",57,"5.5%","10.1%",0.54,0.308,0.349,0.39,0.738,0.082,7,0.345,0,16,2,0.346,114
"11","19953","Josh Lowe","A",118,"8.3%","28.4%",0.29,0.268,0.326,0.386,0.712,0.118,5.6,0.369,1.1,61,1.1,0.325,102
"12","19953","Josh Lowe","A+",105,"10.3%","25.7%",0.4,0.238,0.322,0.361,0.682,0.123,6.6,0.318,1.1,51,-1.3,0.318,98
"13","19953","Josh Lowe","AA",121,"11.4%","25.4%",0.45,0.252,0.341,0.442,0.783,0.19,6.8,0.316,2.3,73,16.1,0.358,128
"14","19953","Josh Lowe","AAA",111,"13.0%","26.2%",0.5,0.291,0.381,0.535,0.916,0.244,6.7,0.361,4.6,86,25.3,0.395,142
"15","19953","Josh Lowe","R",54,"17.2%","27.8%",0.64,0.248,0.373,0.404,0.778,0.157,4.4,0.336,-0.2,16,3.4,0.366,126
"16","20536","Vidal Brujan","A",95,"11.1%","12.2%",0.91,0.313,0.395,0.427,0.822,0.114,8.1,0.351,2.4,69,18.9,0.381,138
"17","20536","Vidal Brujan","A+",71,"10.9%","13.2%",0.82,0.318,0.395,0.484,0.879,0.166,8.8,0.357,1.8,26,8.2,0.401,156
"18","20536","Vidal Brujan","AA",55,"8.6%","15.0%",0.57,0.266,0.336,0.391,0.728,0.126,8.2,0.304,1.6,29,3.2,0.335,113
"19","20536","Vidal Brujan","AAA",103,"11.1%","15.4%",0.72,0.262,0.345,0.44,0.785,0.177,7.3,0.29,4.7,63,6.4,0.348,111
"20","20536","Vidal Brujan","R",109,"10.2%","6.3%",1.66,0.292,0.377,0.404,0.782,0.113,7.7,0.308,-0.4,40,9.8,0.38,132
"21","21524","Joey Bart","A+",57,"5.6%","19.9%",0.28,0.265,0.315,0.479,0.793,0.214,5.8,0.291,0.1,36,4.9,0.352,116
"22","21524","Joey Bart","AA",22,"8.0%","24.1%",0.33,0.316,0.368,0.544,0.912,0.228,3.5,0.382,-0.8,15,5.9,0.401,163
"23","21524","Joey Bart","AAA",67,"7.5%","29.4%",0.26,0.294,0.358,0.472,0.831,0.179,1.5,0.398,-0.2,44,2.8,0.357,107
"24","21524","Joey Bart","R",6,"4.0%","28.0%",0.14,0.261,0.32,0.391,0.711,0.13,4.7,0.375,0,3,0.1,0.338,103
"25","21534","Cal Raleigh","A+",82,"9.5%","19.8%",0.48,0.261,0.336,0.535,0.872,0.274,3.5,0.267,0.7,57,14.5,0.38,134
"26","21534","Cal Raleigh","AA",39,"8.8%","29.6%",0.3,0.228,0.296,0.414,0.709,0.186,0.9,0.286,-0.1,18,-0.8,0.317,96
"27","21534","Cal Raleigh","AAA",44,"7.0%","12.6%",0.56,0.324,0.377,0.608,0.985,0.284,4.9,0.327,-0.5,40,10.5,0.402,136
"28","22217","Luis Campusano","A",70,"6.7%","15.1%",0.44,0.288,0.345,0.365,0.71,0.077,1.4,0.335,-0.5,35,1.9,0.332,106
"29","22217","Luis Campusano","A+",110,"10.7%","11.7%",0.91,0.325,0.396,0.509,0.906,0.185,1.7,0.34,-0.2,88,28.8,0.401,148
"30","22217","Luis Campusano","AAA",81,"8.3%","20.2%",0.41,0.295,0.365,0.541,0.906,0.247,4.3,0.335,0,58,10.3,0.38,122
"31","22217","Luis Campusano","R",37,"11.6%","17.6%",0.62,0.264,0.352,0.405,0.757,0.142,0.8,0.292,-0.5,10,0.4,0.355,110
"32","22458","Taylor Walls","A",120,"12.2%","14.8%",0.83,0.304,0.393,0.428,0.821,0.124,6.9,0.354,1.2,85,23.1,0.38,137
"33","22458","Taylor Walls","A+",41,"10.6%","15.6%",0.68,0.269,0.339,0.417,0.756,0.147,6.9,0.295,0.2,24,4.5,0.346,123
"34","22458","Taylor Walls","AA",55,"10.7%","21.0%",0.51,0.27,0.346,0.479,0.824,0.209,8.2,0.321,-0.6,36,9.3,0.368,135
"35","22458","Taylor Walls","AAA",52,"18.0%","26.1%",0.69,0.247,0.387,0.444,0.831,0.197,6.2,0.316,-0.5,36,7.2,0.369,125
"36","22799","Geraldo Perdomo","A",90,"14.5%","14.5%",1,0.268,0.394,0.357,0.751,0.089,6.1,0.318,0.6,57,12.3,0.364,128
"37","22799","Geraldo Perdomo","A+",26,"12.3%","9.6%",1.27,0.301,0.407,0.387,0.794,0.086,4.1,0.325,-1,18,3.9,0.371,128
"38","22799","Geraldo Perdomo","AA",82,"13.7%","23.5%",0.58,0.231,0.351,0.357,0.708,0.126,6.7,0.299,-0.8,43,-1.5,0.329,97
"39","22799","Geraldo Perdomo","AAA",3,"14.3%","7.1%",2,0.417,0.5,0.417,0.917,0,1.6,0.455,-0.5,3,1,0.424,150
"40","22799","Geraldo Perdomo","R",90,"19.9%","14.6%",1.4,0.336,0.471,0.424,0.895,0.089,6.8,0.407,0.8,23,5.9,0.431,155
"41","23378","Jose Barrero","A",125,"3.7%","21.7%",0.17,0.245,0.29,0.344,0.634,0.1,5.9,0.307,-1.2,48,-11.5,0.294,81
"42","23378","Jose Barrero","A+",104,"5.5%","18.4%",0.3,0.28,0.343,0.436,0.779,0.156,5.7,0.329,2,63,15.1,0.358,131
"43","23378","Jose Barrero","AA",40,"8.9%","22.2%",0.4,0.3,0.367,0.481,0.848,0.181,6.9,0.362,1.1,30,7.6,0.373,135
"44","23378","Jose Barrero","AAA",45,"10.0%","22.0%",0.45,0.306,0.392,0.594,0.986,0.288,4.3,0.336,0,41,14.9,0.419,158
"45","24617","Jarren Duran","A",30,"3.7%","16.4%",0.23,0.367,0.396,0.477,0.872,0.109,7,0.438,0,24,8,0.391,151
"46","24617","Jarren Duran","A+",50,"10.2%","19.5%",0.52,0.387,0.456,0.543,0.998,0.156,8.2,0.48,1.8,48,22.9,0.458,191
"47","24617","Jarren Duran","AA",82,"6.5%","23.9%",0.27,0.25,0.309,0.325,0.634,0.075,8.1,0.335,2.6,33,-5,0.29,87
"48","24617","Jarren Duran","AAA",60,"10.6%","23.3%",0.45,0.258,0.357,0.516,0.873,0.258,7.2,0.288,1.5,48,11.6,0.379,132
"49","sa3003191","Ivan Herrera","A",69,"12.0%","19.2%",0.63,0.286,0.381,0.423,0.805,0.137,2.3,0.337,-0.3,46,12.2,0.378,136
"50","sa3003191","Ivan Herrera","A+",18,"7.7%","24.6%",0.31,0.276,0.338,0.328,0.666,0.052,1.4,0.357,0,7,0.2,0.315,102
"51","sa3003191","Ivan Herrera","AA",100,"6.8%","31.0%",0.32,0.116,0.273,0.204,0.477,0.088,1,0.13,-0.6,30,0.8,0.246,43
"52","sa3003191","Ivan Herrera","AAA",1,"0.0%","0.0%",0,0,0,0,0,0,0.1,0,0,-1,-1.1,0,-100
"53","sa3003191","Ivan Herrera","R",77,"8.7%","16.6%",0.52,0.342,0.424,0.471,0.895,0.129,4.1,0.412,-0.2,32,11.8,0.43,158
"54","sa3003226","Gabriel Moreno","A",82,"6.5%","11.1%",0.58,0.28,0.337,0.485,0.823,0.205,6.7,0.282,0.9,53,13.5,0.375,134
"55","sa3003226","Gabriel Moreno","AA",32,"9.7%","15.2%",0.64,0.373,0.441,0.651,1.092,0.278,4,0.398,-0.8,36,16.9,0.463,192
"56","sa3003226","Gabriel Moreno","AAA",3,"0.0%","20.0%",0,0.111,0.2,0.111,0.311,0,0.1,0.143,0,0,-1.4,0.165,-8
"57","sa3003226","Gabriel Moreno","R",72,"4.3%","10.1%",0.67,0.313,0.344,0.469,0.813,0.156,4.9,0.331,-0.2,15,2.4,0.373,121
"58","sa3003305","Oswald Peraza","A",46,"7.7%","13.5%",0.57,0.273,0.348,0.333,0.681,0.06,6.2,0.31,1.5,25,1.1,0.322,105
"59","sa3003305","Oswald Peraza","A+",28,"9.4%","18.9%",0.5,0.306,0.386,0.532,0.917,0.225,6.7,0.349,2.6,25,7.6,0.396,144
"60","sa3003305","Oswald Peraza","AA",79,"6.5%","23.2%",0.28,0.294,0.348,0.466,0.815,0.172,6.3,0.362,0.2,55,10,0.357,122
"61","sa3003305","Oswald Peraza","AAA",8,"6.5%","16.1%",0.4,0.286,0.323,0.393,0.715,0.107,5.4,0.304,-0.1,4,-0.4,0.315,90
