"","ID","Name","BB_Percentage_MiLB","K_Percentage_MiLB","BB_to_K_MiLB","AVG_MiLB","OBP_MiLB","SLG_MiLB","OPS_MiLB","ISO_MiLB","Spd_MiLB","BABIP_MiLB","wSB_MiLB","wRC_MiLB","wRAA_MiLB","wOBA_MiLB","wRCplus_MiLB"
"1","19610","Keibert Ruiz",0.101,0.148,1.27,0.466,0.54,0.711,1.251,0.245,3.3,0.478,-0.1,45,6,0.55,182
"2","19948","Cristian Pache",0.098,0.3,0.52,0.42,0.491,0.6,1.091,0.181,7.9,0.515,-1.2,57,3.6,0.495,156
"3","19953","Josh Lowe",0.178,0.397,0.68,0.393,0.524,0.654,1.179,0.262,9.3,0.51,3.2,94,16.3,0.533,182
"4","20536","Vidal Brujan",0.155,0.197,1.29,0.43,0.548,0.646,1.194,0.216,12,0.479,3.5,68,12.8,0.548,192
"5","21524","Joey Bart",0.104,0.397,0.41,0.45,0.538,0.751,1.29,0.302,5.6,0.569,-0.4,43,5.8,0.57,194
"6","21534","Cal Raleigh",0.146,0.356,0.79,0.48,0.592,0.914,1.506,0.435,5.5,0.518,0,66,13.8,0.643,214
"7","22217","Luis Campusano",0.132,0.236,0.84,0.425,0.527,0.677,1.204,0.252,3.4,0.473,-0.4,75,16.6,0.533,177
"8","22458","Taylor Walls",0.215,0.327,1.08,0.438,0.595,0.722,1.316,0.284,11.4,0.52,-0.1,69,16.6,0.594,210
"9","22799","Geraldo Perdomo",0.218,0.205,1.91,0.472,0.638,0.582,1.22,0.11,7.1,0.545,-0.5,40,5.3,0.573,195
"10","23378","Jose Barrero",0.121,0.344,0.57,0.466,0.576,0.778,1.354,0.313,9.2,0.546,0.9,72,12.8,0.599,212
"11","24617","Jarren Duran",0.131,0.345,0.61,0.498,0.608,0.753,1.361,0.254,12.4,0.607,2.6,64,14.7,0.61,223
"12","sa3003191","Ivan Herrera",0.094,0.264,0.47,0.263,0.377,0.37,0.747,0.106,2.2,0.319,-0.3,30,5.3,0.361,71
"13","sa3003226","Gabriel Moreno",0.074,0.226,0.63,0.384,0.484,0.609,1.094,0.225,5.1,0.416,-0.1,36,11.5,0.496,152
"14","sa3003305","Oswald Peraza",0.117,0.267,0.84,0.436,0.531,0.644,1.175,0.208,9.5,0.5,1.4,38,6.1,0.527,173
"15","sa3004047","Gabriel Arias",0.091,0.369,0.37,0.399,0.472,0.587,1.059,0.188,7,0.523,-0.7,77,7,0.477,146
"16","sa3004153","Blake Hunt",0.126,0.432,0.44,0.277,0.389,0.45,0.839,0.174,5.6,0.394,0.1,30,-2.5,0.387,98
"17","sa3004256","Ryan Vilade",0.147,0.259,0.8,0.418,0.527,0.619,1.145,0.2,9.3,0.495,-0.6,97,6.5,0.511,159
"18","sa3004259","Royce Lewis",0.114,0.251,0.72,0.357,0.455,0.543,0.997,0.186,9.6,0.417,1.1,36,3.7,0.464,152
"19","sa3004378","Drew Waters",0.115,0.406,0.44,0.43,0.522,0.655,1.178,0.225,10.2,0.589,1,62,11.8,0.533,180
"20","sa3004615","Jeter Downs",0.16,0.333,0.79,0.391,0.527,0.711,1.239,0.32,8.8,0.441,1.7,66,2.8,0.551,186
"21","sa3004693","Heliot Ramos",0.119,0.418,0.43,0.415,0.516,0.687,1.204,0.272,8.7,0.557,-0.5,61,7.1,0.534,175
"22","sa3004755","Tyler Freeman",0.063,0.138,0.63,0.426,0.506,0.591,1.096,0.163,8.6,0.466,0.7,46,9.7,0.502,174
"23","sa3005081","Jacob Amaya",0.167,0.255,0.92,0.346,0.472,0.512,0.983,0.166,7.3,0.411,-0.3,45,-2.7,0.455,136
"24","sa3005271","Ezequiel Duran",0.082,0.344,0.31,0.344,0.414,0.619,1.034,0.275,8.7,0.434,0.1,37,2.4,0.458,150
"25","sa3005507","Gilberto Jimenez",0.063,0.202,0.38,0.351,0.408,0.463,0.871,0.112,8,0.427,-2.7,61,7.6,0.413,132
"26","sa3005582","Liover Peguero",0.095,0.288,0.42,0.348,0.419,0.535,0.954,0.188,8.9,0.429,2,54,4.8,0.427,134
"27","sa3005625","Andy Pages",0.174,0.28,0.86,0.32,0.491,0.651,1.143,0.332,5.8,0.361,-1.2,98,33.5,0.513,187
"28","sa3005630","Heriberto Hernandez",0.181,0.282,0.78,0.316,0.462,0.604,1.066,0.287,5.8,0.392,-1.3,65,20.9,0.485,173
"29","sa3005720","Julio Rodriguez",0.145,0.255,0.81,0.476,0.588,0.77,1.359,0.295,7.9,0.562,0.9,58,22.8,0.61,237
"30","sa3005898","Brayan Rocchio",0.09,0.27,0.5,0.414,0.509,0.656,1.164,0.241,10,0.488,-0.8,49,9.4,0.525,180
"31","sa3006872","George Valera",0.185,0.356,0.84,0.323,0.472,0.577,1.049,0.253,6.2,0.388,-0.6,29,8.1,0.473,152
"32","sa3006884","Kristian Robinson",0.108,0.318,0.39,0.279,0.374,0.492,0.866,0.213,6.5,0.353,-0.5,19,2.6,0.401,130
"33","sa3006887","Ronny Mauricio",0.079,0.347,0.32,0.38,0.438,0.572,1.01,0.192,7.2,0.492,-1.7,43,-2.2,0.449,139
"34","sa3006892","Alek Thomas",0.146,0.318,0.74,0.468,0.58,0.755,1.334,0.287,9.1,0.575,-1.3,62,18.7,0.59,205
"35","sa3006893","Jordan Groshans",0.14,0.262,0.7,0.396,0.495,0.592,1.087,0.196,2.4,0.48,-0.2,42,9.6,0.495,172
"36","sa3007017","Nolan Gorman",0.128,0.39,0.52,0.413,0.51,0.734,1.244,0.322,6.2,0.506,-0.1,54,9.8,0.553,187
"37","sa3007018","Xavier Edwards",0.135,0.148,1.25,0.446,0.536,0.544,1.08,0.098,9.9,0.502,0.8,52,8.5,0.501,171
"38","sa3007512","Travis Swaggerty",0.179,0.328,0.91,0.333,0.489,0.577,1.067,0.245,8.4,0.367,1,39,3.6,0.489,147
"39","sa3007634","Triston Casas",0.198,0.367,0.9,0.388,0.547,0.781,1.328,0.393,6.6,0.45,-0.1,43,12.2,0.601,227
"40","sa3007876","Brennen Davis",0.183,0.332,0.86,0.428,0.591,0.76,1.351,0.333,6.6,0.505,0.1,37,11.6,0.608,225
"41","sa3007943","Parker Meadows",0.096,0.318,0.38,0.302,0.401,0.473,0.874,0.17,6.8,0.392,-1.3,34,-8.1,0.408,121
"42","sa3008247","Bo Naylor",0.151,0.347,0.61,0.302,0.421,0.503,0.924,0.201,8.3,0.386,0.9,50,-4.3,0.427,128
"43","sa3008306","Steele Walker",0.119,0.27,0.73,0.394,0.497,0.619,1.116,0.225,6.7,0.443,-0.2,42,-1,0.503,152
"44","sa3008742","Diego Cartaya",0.122,0.269,0.51,0.32,0.423,0.598,1.021,0.278,3.9,0.381,-0.1,27,8,0.453,153
"45","sa3008745","Noelvi Marte",0.113,0.32,0.5,0.361,0.444,0.572,1.017,0.211,7.9,0.478,0.4,55,10.5,0.462,147
"46","sa3008746","Antonio Gomez",0.145,0.276,0.58,0.337,0.439,0.506,0.945,0.169,4,0.473,0.1,7,-0.7,0.452,150
"47","sa3008752","Kevin Alcantara",0.066,0.204,0.34,0.248,0.318,0.363,0.681,0.115,8,0.313,-0.2,10,-1,0.332,94
"48","sa3008756","Luis Matos",0.066,0.117,0.69,0.396,0.469,0.576,1.046,0.182,7,0.42,1.4,71,16.5,0.48,168
"49","sa3008851","Alexander Vargas",0.086,0.131,0.66,0.254,0.332,0.43,0.763,0.176,8.2,0.292,0.8,13,-0.4,0.362,112
"50","sa3010022","Marco Luciano",0.136,0.351,0.56,0.332,0.443,0.585,1.028,0.253,7.8,0.43,-1.3,46,9.3,0.46,146
"51","sa3010034","Korey Lee",0.134,0.357,0.68,0.466,0.56,0.717,1.277,0.25,5.3,0.559,0.1,28,0.7,0.559,155
"52","sa3010151","Greg Jones",0.143,0.525,0.46,0.38,0.525,0.654,1.18,0.274,15.7,0.533,4.4,41,9.1,0.525,160
"53","sa3010152","CJ Abrams",0.115,0.145,0.9,0.411,0.498,0.622,1.119,0.211,9.1,0.459,1,30,8.1,0.51,174
